,Feature,Unifrom,Metric,Result,Skimage,Image Size,R,L,Step,Histogram,Histogram Tile Size
0,Pixel By Pixel,False,euclidean,0.128,,"(64, 64)",,,,,
1,Pixel By Pixel,False,cityblock,0.132,,"(64, 64)",,,,,
2,Pixel By Pixel,False,cosine,0.169,,"(64, 64)",,,,,
3,Pixel By Pixel,False,euclidean,0.127,,"(128, 128)",,,,,
4,Pixel By Pixel,False,cityblock,0.133,,"(128, 128)",,,,,
5,Pixel By Pixel,False,cosine,0.167,,"(128, 128)",,,,,
6,Pixel By Pixel,False,euclidean,0.127,,"(256, 256)",,,,,
7,Pixel By Pixel,False,cityblock,0.133,,"(256, 256)",,,,,
8,Pixel By Pixel,False,cosine,0.167,,"(256, 256)",,,,,
9,LBP,False,euclidean,0.288,0.243,"(64, 64)",1,8,1,False,
10,LBP,False,cityblock,0.308,0.305,"(64, 64)",1,8,1,False,
11,LBP,False,cosine,0.175,0.166,"(64, 64)",1,8,1,False,
12,LBP,False,euclidean,0.21,0.211,"(64, 64)",1,8,1,True,16
13,LBP,False,cityblock,0.31,0.302,"(64, 64)",1,8,1,True,16
14,LBP,False,cosine,0.252,0.222,"(64, 64)",1,8,1,True,16
15,LBP,False,euclidean,0.128,0.128,"(64, 64)",1,8,1,True,32
16,LBP,False,cityblock,0.161,0.137,"(64, 64)",1,8,1,True,32
17,LBP,False,cosine,0.136,0.131,"(64, 64)",1,8,1,True,32
18,LBP,False,euclidean,0.051,0.047,"(64, 64)",1,8,1,True,64
19,LBP,False,cityblock,0.057,0.052,"(64, 64)",1,8,1,True,64
20,LBP,False,cosine,0.06,0.056,"(64, 64)",1,8,1,True,64
21,LBP,False,euclidean,0.208,,"(64, 64)",1,8,2,False,
22,LBP,False,cityblock,0.236,,"(64, 64)",1,8,2,False,
23,LBP,False,cosine,0.146,,"(64, 64)",1,8,2,False,
24,LBP,False,euclidean,0.16,,"(64, 64)",1,8,2,True,16
25,LBP,False,cityblock,0.24,,"(64, 64)",1,8,2,True,16
26,LBP,False,cosine,0.2,,"(64, 64)",1,8,2,True,16
27,LBP,False,euclidean,0.092,,"(64, 64)",1,8,2,True,32
28,LBP,False,cityblock,0.108,,"(64, 64)",1,8,2,True,32
29,LBP,False,cosine,0.104,,"(64, 64)",1,8,2,True,32
30,LBP,False,euclidean,0.034,,"(64, 64)",1,8,2,True,64
31,LBP,False,cityblock,0.056,,"(64, 64)",1,8,2,True,64
32,LBP,False,cosine,0.03,,"(64, 64)",1,8,2,True,64
33,LBP,False,euclidean,0.08,,"(64, 64)",1,8,4,False,
34,LBP,False,cityblock,0.096,,"(64, 64)",1,8,4,False,
35,LBP,False,cosine,0.104,,"(64, 64)",1,8,4,False,
36,LBP,False,euclidean,0.08,,"(64, 64)",1,8,4,True,16
37,LBP,False,cityblock,0.088,,"(64, 64)",1,8,4,True,16
38,LBP,False,cosine,0.064,,"(64, 64)",1,8,4,True,16
39,LBP,False,euclidean,0.072,,"(64, 64)",1,8,4,True,32
40,LBP,False,cityblock,0.08,,"(64, 64)",1,8,4,True,32
41,LBP,False,cosine,0.056,,"(64, 64)",1,8,4,True,32
42,LBP,False,euclidean,0.064,,"(64, 64)",1,8,4,True,64
43,LBP,False,cityblock,0.096,,"(64, 64)",1,8,4,True,64
44,LBP,False,cosine,0.056,,"(64, 64)",1,8,4,True,64
45,LBP,False,euclidean,0.36,0.31,"(64, 64)",2,16,1,False,
